"project_accession","n_runs_in_project","n_conflict_rows","conflict_shape","conflict_from","orig_real_dates","orig_sentinel_count","infer_value_projlevel","infer_source_projlevel","infer_method_projlevel"
"PRJEB34633","277","257","genuine_year","LLM","2016-06-12(7)
 2016-06-08(5)
 2016-09-07(4)
 2016-12-12(4)
 2016-02-18(3)
 2016-08-16(3)
 2016-08-29(3)
 2016-10-06(3)
 2016-11-17(3)
 2017-02-02(3)
 2017-02-13(3)
 2017-03-05(3)
 2017-02-22(3)
 2017-03-16(3)
 2017-04-11(3)
 2018-03-06(3)
 2018-03-12(3)
 2018-05-04(3)
 2018-05-12(3)
 2018-10-18(3)
 2016-01-11(3)
 2016-06-18(3)
 2016-07-04(3)
 2016-09-21(3)
 2018-02-26(3)
 2018-03-20(3)
 2016-01-20(2)
 2015-12-01(2)
 2015-12-17(2)
 2015-12-29(2)
 2015-12-21(2)
 2016-02-12(2)
 2016-05-28(2)
 2016-07-13(2)
 2016-07-20(2)
 2016-08-02(2)
 2016-09-13(2)
 2016-10-09(2)
 2016-11-02(2)
 2016-11-13(2)
 2016-11-26(2)
 2016-12-18(2)
 2016-12-19(2)
 2017-01-08(2)
 2017-01-27(2)
 2017-03-02(2)
 2017-03-10(2)
 2017-04-20(2)
 2017-05-09(2)
 2017-09-13(2)
 2018-01-02(2)
 2018-03-01(2)
 2018-03-16(2)
 2015-12-28(2)
 2016-01-09(2)
 2016-01-22(2)
 2016-01-28(2)
 2016-02-08(2)
 2016-05-20(2)
 2016-05-25(2)
 2016-06-14(2)
 2016-06-27(2)
 2016-07-22(2)
 2016-08-18(2)
 2016-08-22(2)
 2016-09-18(2)
 2016-10-12(2)
 2017-01-01(2)
 2017-01-04(2)
 2017-01-12(2)
 2017-02-07(2)
 2017-02-17(2)
 2017-03-21(2)
 2017-07-05(2)
 2017-08-08(2)
 2017-11-04(2)
 2018-08-07(2)
 2015-12-09(2)
 2016-01-05(2)
 2016-07-02(2)
 2016-07-17(2)
 2016-08-10(2)
 2016-10-15(2)
 2016-11-05(2)
 2016-11-09(2)
 2016-12-07(2)
 2016-12-22(2)
 2017-01-24(2)
 2017-02-11(2)
 2017-03-27(2)
 2017-04-24(2)
 2015-12-02(1)
 2015-12-07(1)
 2015-11-20(1)
 2016-01-17(1)
 2016-08-08(1)
 2016-09-29(1)
 2017-01-16(1)
 2017-05-22(1)
 2017-04-18(1)
 2017-05-15(1)
 2017-04-07(1)
 2017-05-04(1)
 2017-05-16(1)
 2017-07-01(1)
 2017-07-18(1)
 2017-07-27(1)
 2017-08-09(1)
 2017-08-23(1)
 2017-09-20(1)
 2017-10-05(1)
 2017-10-27(1)
 2017-11-01(1)
 2017-12-04(1)
 2018-07-27(1)
 2018-11-02(1)
 2015-11-25(1)
 2016-05-16(1)
 2016-07-18(1)
 2016-10-23(1)
 2016-12-04(1)
 2016-12-09(1)
 2017-01-18(1)
 2017-05-13(1)
 2017-06-05(1)
 2017-04-05(1)
 2017-05-06(1)
 2017-06-11(1)
 2017-10-18(1)
 2018-01-15(1)
 2018-02-02(1)
 2018-07-12(1)
 2018-08-21(1)
 2018-10-04(1)
 2015-11-23(1)
 2015-12-06(1)
 2015-12-12(1)
 2015-12-15(1)
 2016-09-24(1)
 2016-10-02(1)
 2017-02-28(1)
 2017-03-06(1)
 2017-07-11(1)
 2017-10-30(1)
 2018-02-13(1)
 2018-04-22(1)
 2018-06-24(1)
 2018-08-15(1)
 2018-09-05(1)
 2018-09-19(1)
 2018-09-26(1)
 2018-11-27(1)","0","2015-XX-XX","llm_agent","llm_agent"
"PRJNA1150505","236","236","genuine_year","rule","2016-04-12(25)
 2016-03-30(25)
 2016-06-14(24)
 2016-06-01(24)
 2016-03-15(23)
 2016-03-01(22)
 2016-07-26(22)
 2016-06-28(21)
 2016-08-16(20)
 2016-07-12(15)
 2016-05-17(15)","0","2020-XX-XX","literature","rule_date"
"PRJNA376566","408","223","genuine_year","LLM","2014(223)
 2012(150)
 2013(35)","0","2012-XX-XX
2013-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJNA1219970","221","221","genuine_year","rule","2023(61)
 2019(38)
 2022(35)
 2020(29)
 2021(27)
 2018(21)
 2017(10)","0","2006-XX-XX","literature","rule_date"
"PRJEB29052","184","184","genuine_year","rule","2016(184)","0","2014-XX-XX","literature","rule_date"
"PRJEB46777","178","178","genuine_year","rule","2011/2014(178)","0","2015-XX-XX","study_meta","rule_date"
"PRJEB46779","178","178","genuine_year","rule","2015-10-02(8)
 2015-03-26(6)
 2015-04-09(6)
 2015-10-28(6)
 2015-04-22(4)
 2015-05-22(4)
 2015-07-10(4)
 2015-04-23(4)
 2015-10-09(4)
 2015-10-23(4)
 2015-12-18(4)
 2015-03-12(4)
 2015-09-04(4)
 2015-04-02(4)
 2015-09-23(4)
 2015-09-18(4)
 2015-09-25(4)
 2015-11-18(4)
 2015-10-22(4)
 2016-02-11(4)
 2015-12-01(4)
 2013-05-30(2)
 2013-08-22(2)
 2015-03-18(2)
 2015-08-14(2)
 2015-11-27(2)
 2015-10-07(2)
 2015-11-23(2)
 2015-12-21(2)
 2015-11-30(2)
 2015-11-19(2)
 2015-03-02(2)
 2013-06-27(2)
 2015-06-04(2)
 2015-06-23(2)
 2015-06-02(2)
 2015-05-06(2)
 2015-05-20(2)
 2015-07-15(2)
 2015-10-21(2)
 2015-12-11(2)
 2015-11-05(2)
 2015-10-29(2)
 2015-12-29(2)
 2016-02-18(2)
 2014-12-24(2)
 2015-11-24(2)
 2013-06-06(2)
 2015-01-20(2)
 2015-05-29(2)
 2015-08-07(2)
 2015-09-30(2)
 2015-12-08(2)
 2015-12-22(2)
 2014-12-23(2)
 2015-05-26(2)
 2015-06-09(2)
 2015-03-17(2)
 2015-01-21(2)
 2015-04-29(2)
 2015-10-16(2)
 2016-03-10(2)
 2016-05-05(2)","0","2018-XX-XX","study_meta","rule_date"
"PRJNA744354","248","168","genuine_year","LLM","2019-01-15(6)
 2019-06-13(6)
 2019-03-05(6)
 2018-12-25(6)
 2019-10-24(5)
 2019-07-02(4)
 2020-05-26(4)
 2018-11-07(4)
 2019-10-08(4)
 2019-05-30(4)
 2019-09-10(4)
 2020-01-08(4)
 2019-04-09(4)
 2018-11-29(4)
 2018-10-25(4)
 2019-05-09(4)
 2019-06-06(4)
 2018-12-05(4)
 2019-12-26(4)
 2019-04-04(4)
 2019-03-14(4)
 2018-12-13(3)
 2020-01-19(3)
 2018-10-16(3)
 2019-06-18(3)
 2019-03-19(2)
 2018-11-08(2)
 2019-05-06(2)
 2018-08-08(2)
 2019-04-23(2)
 2019-06-19(2)
 2019-03-04(2)
 2018-12-21(2)
 2019-12-25(2)
 2018-09-05(2)
 2019-05-20(2)
 2020-01-16(2)
 2019-04-02(2)
 2019-11-21(2)
 2018-08-22(2)
 2018-12-04(2)
 2018-07-13(2)
 2020-05-27(2)
 2018-08-02(2)
 2018-09-01(2)
 2019-05-07(2)
 2019-11-06(2)
 2019-07-12(2)
 2020-05-18(2)
 2019-02-12(2)
 2020-04-14(2)
 2018-08-28(2)
 2019-12-02(2)
 2019-03-07(2)
 2019-01-29(2)
 2019-11-28(2)
 2018-12-11(2)
 2019-06-11(2)
 2019-11-12(2)
 2019-05-08(2)
 2019-01-31(2)
 2018-12-18(2)
 2018-11-21(2)
 2018-09-30(2)
 2019-12-20(2)
 2019-02-15(2)
 2019-09-05(2)
 2018-10-23(2)
 2019-05-22(2)
 2019-06-20(2)
 2019-09-29(2)
 2019-01-10(2)
 2019-01-28(2)
 2018-12-12(2)
 2018-09-25(2)
 2019-03-28(2)
 2019-03-13(2)
 2019-07-30(2)
 2019-06-04(2)
 2018-08-09(2)
 2019-06-23(2)
 2018-10-19(2)
 2018-07-17(2)
 2019-01-08(2)
 2020-05-22(2)
 2018-12-30(2)
 2018-08-06(2)
 2019-04-22(2)
 2019-07-11(2)
 2020-05-14(2)
 2018-07-19(1)
 2019-03-08(1)
 2019-07-03(1)
 2018-12-03(1)
 2019-01-11(1)
 2018-07-23(1)
 2018-11-27(1)
 2018-11-23(1)
 2018-10-17(1)
 2019-12-12(1)
 2020-01-07(1)
 2018-12-08(1)
 2018-10-22(1)","0","2018-07-XX","llm_agent","llm_agent"
"PRJEB43119","165","128","genuine_year","LLM","2019-12-16(3)
 2019-09-18(3)
 2019-04-09(2)
 2018-09-26(2)
 2019-07-02(2)
 2018-05-24(2)
 2019-11-09(2)
 2019-07-22(2)
 2019-10-31(2)
 2017-08-06(1)
 2019-08-13(1)
 2019-07-26(1)
 2019-08-01(1)
 2019-06-17(1)
 2019-05-13(1)
 2019-03-08(1)
 2019-06-14(1)
 2019-03-21(1)
 2019-03-27(1)
 2019-02-01(1)
 2018-12-31(1)
 2019-03-03(1)
 2017-12-21(1)
 2018-11-08(1)
 2019-11-07(1)
 2019-09-29(1)
 2020-01-03(1)
 2019-11-15(1)
 2019-12-21(1)
 2018-09-14(1)
 2019-07-07(1)
 2019-05-25(1)
 2019-02-25(1)
 2018-06-29(1)
 2019-11-14(1)
 2018-09-10(1)
 2018-05-17(1)
 2019-05-16(1)
 2019-05-21(1)
 2019-05-18(1)
 2015-12-21(1)
 2016-04-07(1)
 2016-11-01(1)
 2019-11-20(1)
 2015-05-18(1)
 2019-10-14(1)
 2019-09-05(1)
 2019-09-07(1)
 2019-06-26(1)
 2018-09-01(1)
 2019-04-02(1)
 2019-02-19(1)
 2019-01-30(1)
 2019-02-04(1)
 2018-11-17(1)
 2018-11-05(1)
 2019-05-02(1)
 2018-12-07(1)
 2018-12-24(1)
 2018-10-14(1)
 2018-10-22(1)
 2017-11-23(1)
 2018-10-26(1)
 2017-06-03(1)
 2016-04-27(1)
 2019-03-31(1)
 2018-12-12(1)
 2018-12-02(1)
 2018-11-14(1)
 2018-09-28(1)
 2020-01-22(1)
 2020-01-16(1)
 2019-05-07(1)
 2019-04-16(1)
 2019-08-17(1)
 2019-01-26(1)
 2018-11-18(1)
 2018-11-11(1)
 2018-05-03(1)
 2019-10-30(1)
 2015-11-03(1)
 2019-03-14(1)
 2015-09-03(1)
 2016-05-16(1)
 2016-12-09(1)
 2016-05-24(1)
 2016-11-07(1)
 2016-04-25(1)
 2016-04-19(1)
 2015-05-15(1)
 2019-10-15(1)
 2019-08-03(1)
 2019-08-30(1)
 2019-07-01(1)
 2019-05-06(1)
 2018-11-12(1)
 2019-07-19(1)
 2018-02-21(1)
 2018-09-21(1)
 2019-07-29(1)
 2017-03-07(1)
 2017-07-11(1)
 2017-10-05(1)
 2016-07-26(1)
 2017-05-25(1)
 2017-06-15(1)
 2016-04-05(1)
 2019-04-12(1)
 2018-11-22(1)
 2018-10-15(1)
 2018-08-02(1)
 2018-08-16(1)
 2019-10-12(1)
 2019-12-20(1)
 2019-09-16(1)
 2019-06-30(1)
 2019-09-02(1)
 2019-08-10(1)
 2018-02-28(1)
 2018-02-20(1)
 2019-03-19(1)
 2018-09-19(1)
 2019-02-09(1)
 2019-02-11(1)
 2015-03-30(1)
 2016-01-18(1)
 2016-08-15(1)
 2016-02-17(1)
 2016-02-22(1)
 2016-08-30(1)
 2015-05-12(1)
 2016-01-02(1)
 2015-03-08(1)
 2016-01-28(1)
 2019-11-04(1)
 2019-10-29(1)
 2019-11-06(1)
 2015-07-09(1)
 2015-02-17(1)
 2019-09-25(1)
 2019-10-10(1)
 2019-09-03(1)
 2019-07-18(1)
 2019-06-05(1)
 2019-05-22(1)
 2019-06-28(1)
 2019-05-10(1)
 2019-03-10(1)
 2018-10-23(1)
 2019-01-28(1)
 2016-03-02(1)
 2017-06-20(1)
 2018-02-15(1)
 2019-11-18(1)","0","2018-XX-XX","llm_agent","llm_agent"
"PRJNA820547","143","127","genuine_year","LLM","2016-04-14(12)
 2016-03-14(7)
 2016-03-03(7)
 2016-01-25(6)
 2016-11-03(6)
 2016-05-30(5)
 2016-05-19(5)
 2016-05-09(5)
 2016-06-06(4)
 2016-01-11(4)
 2016-04-11(4)
 2016-02-22(4)
 2016-02-01(4)
 2016-12-12(4)
 2016-12-05(4)
 2016-03-21(3)
 2016-03-07(3)
 2016-02-08(3)
 2016-05-23(3)
 2016-06-13(3)
 2016-12-22(3)
 2016-12-19(3)
 2016-11-21(3)
 2015-12-21(3)
 2016-01-28(3)
 2016-04-18(3)
 2016-11-14(3)
 2016-04-04(2)
 2017-02-06(2)
 2017-01-30(2)
 2017-01-26(2)
 2017-01-09(2)
 2016-04-25(2)
 2016-01-18(2)
 2017-01-02(2)
 2016-11-28(2)
 2017-01-16(2)
 2016-11-07(2)
 2017-01-23(1)
 2016-02-15(1)
 2016-06-16(1)
 2016-05-02(1)","0","2015-XX-XX
2017-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJEB36820","118","118","genuine_year","rule","2018(118)","0","2002-XX-XX","study_meta","rule_date"
"PRJNA477424","217","106","genuine_year","LLM","2017-07-16(16)
 2017-03-15(16)
 2016-10-28(13)
 2017-02-15(13)
 2016-12-15(12)
 2017-01-15(12)
 2017-04-16(11)
 2017-06-15(11)
 2016-08-15(10)
 2016-11-20(9)
 2017-05-16(6)
 2016-11-13(6)
 2016-11-29(6)
 2017-05-15(6)
 2016-12-08(5)
 2016-07-20(4)
 2016-08-17(4)
 2017-01-18(4)
 2017-03-19(4)
 2016-07-04(4)
 2016-08-21(4)
 2016-09-14(3)
 2016-11-07(3)
 2016-04-05(3)
 2016-08-09(3)
 2016-07-13(3)
 2017-06-16(3)
 2016-04-16(3)
 2016-11-15(2)
 2016-08-27(2)
 2016-08-03(2)
 2016-06-27(2)
 2016-06-07(2)
 2017-02-14(2)
 2017-02-19(2)
 2016-12-14(1)
 2016-06-26(1)
 2016-12-13(1)
 2016-10-11(1)
 2016-08-28(1)
 2016-09-15(1)","0","2016-XX-XX","llm_agent","llm_agent"
"PRJNA855930","105","105","genuine_year","LLM","2009-06-06(20)
 2009-05-30(20)
 2016-04-21(16)
 2016-04-24(13)
 2016-04-30(10)
 2009-05-22(10)
 2009-05-27(10)
 2016(3)
 2016-04-23(3)","0","2022-XX-XX","llm_agent","llm_agent"
"PRJNA825831","117","101","genuine_year","LLM","2019(47)
 2018(29)
 2017(25)
 2016(11)
 2020(5)","0","2016-XX-XX
2020-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJNA845064","246","99","genuine_year","LLM","2020-09-29(5)
 2020-09-03(4)
 2021-04-02(3)
 2019-09-17(3)
 2019-06-04(3)
 2021-06-11(3)
 2020-04-09(3)
 2021-02-24(3)
 2020-12-25(3)
 2019-11-05(3)
 2019-10-09(2)
 2020-11-26(2)
 2021-03-18(2)
 2019-11-02(2)
 2020-12-16(2)
 2021-05-27(2)
 2019-06-13(2)
 2019-12-10(2)
 2019-10-08(2)
 2021-06-18(2)
 2021-05-19(2)
 2021-01-26(2)
 2020-05-07(2)
 2020-03-10(2)
 2019-09-24(2)
 2021-03-24(2)
 2021-01-08(2)
 2020-07-23(2)
 2020-08-04(2)
 2020-11-24(2)
 2021-01-13(2)
 2020-08-19(2)
 2020-09-11(2)
 2019-12-09(2)
 2021-01-09(2)
 2021-05-28(2)
 2019-01-24(2)
 2021-05-12(2)
 2021-02-03(2)
 2020-12-02(2)
 2020-11-18(2)
 2019-09-03(2)
 2019-09-26(2)
 2021-03-19(2)
 2019-10-31(2)
 2019-08-06(2)
 2019-02-14(2)
 2021-04-30(2)
 2021-03-27(1)
 2020-09-22(1)
 2020-07-17(1)
 2020-03-24(1)
 2019-09-13(1)
 2020-12-17(1)
 2019-10-23(1)
 2019-11-06(1)
 2019-11-12(1)
 2019-11-26(1)
 2020-12-14(1)
 2019-08-07(1)
 2021-02-02(1)
 2020-10-15(1)
 2021-03-08(1)
 2020-11-30(1)
 2021-07-21(1)
 2020-07-28(1)
 2019-11-22(1)
 2020-11-05(1)
 2021-05-11(1)
 2021-05-30(1)
 2019-09-10(1)
 2019-08-01(1)
 2020-10-11(1)
 2020-04-14(1)
 2020-04-23(1)
 2020-06-10(1)
 2020-06-12(1)
 2020-06-24(1)
 2021-06-01(1)
 2019-10-12(1)
 2021-04-07(1)
 2021-01-06(1)
 2021-02-09(1)
 2021-02-18(1)
 2020-07-22(1)
 2020-06-16(1)
 2020-10-21(1)
 2021-02-23(1)
 2021-01-20(1)
 2020-11-04(1)
 2020-11-20(1)
 2020-11-12(1)
 2020-10-16(1)
 2020-04-22(1)
 2020-07-31(1)
 2020-04-30(1)
 2020-04-24(1)
 2019-10-30(1)
 2019-03-20(1)
 2020-10-28(1)
 2019-10-22(1)
 2021-03-09(1)
 2019-10-15(1)
 2020-05-28(1)
 2020-11-06(1)
 2021-03-26(1)
 2019-11-01(1)
 2019-09-16(1)
 2021-02-08(1)
 2020-12-21(1)
 2021-02-04(1)
 2021-02-07(1)
 2020-09-04(1)
 2020-11-07(1)
 2019-05-06(1)
 2019-12-06(1)
 2019-12-02(1)
 2021-06-08(1)
 2021-04-13(1)
 2019-12-24(1)
 2019-07-08(1)
 2019-04-18(1)
 2018-12-20(1)
 2021-06-26(1)
 2021-06-23(1)
 2020-01-09(1)
 2021-05-08(1)
 2020-09-01(1)
 2020-08-27(1)
 2020-04-02(1)
 2020-06-09(1)
 2021-03-03(1)
 2020-05-19(1)
 2020-05-10(1)
 2021-04-28(1)
 2021-08-10(1)
 2021-02-25(1)
 2021-05-24(1)
 2021-07-19(1)
 2021-03-12(1)
 2020-12-31(1)
 2020-10-22(1)
 2020-09-08(1)
 2020-08-13(1)
 2020-05-29(1)
 2019-10-26(1)
 2019-09-11(1)
 2019-07-25(1)
 2021-05-18(1)
 2020-12-27(1)
 2021-02-10(1)
 2021-02-20(1)
 2020-09-25(1)
 2020-12-19(1)
 2020-10-23(1)
 2019-10-24(1)
 2020-08-21(1)
 2019-07-18(1)
 2021-07-01(1)
 2020-08-22(1)
 2020-09-20(1)
 2020-12-18(1)
 2021-07-04(1)
 2021-06-30(1)
 2021-05-25(1)
 2019-05-30(1)
 2019-06-05(1)
 2020-01-21(1)
 2019-03-07(1)
 2020-10-30(1)
 2019-01-31(1)
 2019-03-21(1)
 2020-11-27(1)
 2021-05-21(1)
 2021-01-11(1)
 2020-10-13(1)
 2020-08-18(1)
 2020-09-15(1)
 2020-05-26(1)
 2020-06-06(1)
 2021-04-16(1)
 2021-04-14(1)
 2021-01-28(1)
 2020-10-20(1)
 2021-07-02(1)","0","2019-XX-XX
2021-XX-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJNA429141","100","98","genuine_year","LLM","2017-05-23(8)
 2017-07-26(2)
 2017-06-27(2)
 2017-04-14(2)
 2016-11-09(2)
 2016-08-15(2)
 2016-04-20(2)
 2017-08-18(2)
 2017-09-22(2)
 2017-10-10(2)
 2017-11-07(2)
 2018-02-05(2)
 2018-06-20(2)
 2018-07-16(2)
 2018-09-17(2)
 2018-10-29(2)
 2018-11-19(2)
 2018-12-10(2)
 2019-04-23(2)
 2019-09-16(2)
 2019-10-07(2)
 2019-10-29(2)
 2019-11-18(2)
 2018-08-08(2)
 2018-11-21(2)
 2019-04-25(2)
 2019-08-07(2)
 2019-11-20(2)
 2021-11-03(2)
 2018-08-07(2)
 2018-11-20(2)
 2019-04-24(2)
 2021-04-07(2)
 2021-11-02(2)
 2018-01-10(2)
 2018-08-06(2)
 2019-04-01(2)
 2019-05-23(2)
 2019-06-24(2)
 2019-07-18(2)
 2019-08-26(2)
 2021-04-08(2)
 2019-08-06(2)
 2019-11-19(2)
 2021-07-20(2)
 2021-07-21(2)
 2015-11-04(1)
 2015-06-16(1)","0","2015-06-XX","llm_agent","llm_agent"
"PRJEB73590","139","96","genuine_year","rule","2021-03-15(5)
 2021-05-21(3)
 2022-09-15(3)
 2021-12-07(3)
 2021-12-01(3)
 2021-12-02(3)
 2021-04-15(3)
 2020-12-04(2)
 2021-03-31(2)
 2021-11-16(2)
 2022-10-18(2)
 2022-11-08(2)
 2023-02-05(2)
 2021-12-09(2)
 2021-12-24(2)
 2022-06-15(2)
 2022-06-29(2)
 2022-02-07(2)
 2021-12-22(2)
 2021-11-19(2)
 2023-02-06(2)
 2023-02-24(2)
 2021-03-17(2)
 2021-12-14(2)
 2021-09-15(2)
 2020-04-26(1)
 2020-08-26(1)
 2020-11-11(1)
 2021-06-15(1)
 2021-06-25(1)
 2021-06-28(1)
 2021-03-22(1)
 2022-01-12(1)
 2022-09-13(1)
 2022-05-05(1)
 2022-06-16(1)
 2022-11-17(1)
 2021-04-22(1)
 2021-05-24(1)
 2021-09-21(1)
 2021-09-28(1)
 2021-11-02(1)
 2022-02-22(1)
 2022-02-23(1)
 2022-03-01(1)
 2021-06-29(1)
 2021-10-20(1)
 2022-02-18(1)
 2020-07-29(1)
 2020-09-28(1)
 2020-11-02(1)
 2021-08-18(1)
 2022-01-27(1)
 2022-05-26(1)
 2022-06-14(1)
 2019-12-04(1)
 2020-02-25(1)
 2020-04-24(1)
 2020-12-18(1)
 2022-03-10(1)
 2022-07-27(1)
 2022-10-20(1)
 2022-10-22(1)
 2022-10-26(1)
 2021-06-08(1)
 2021-09-13(1)
 2022-01-17(1)
 2021-05-11(1)
 2021-11-03(1)
 2022-09-14(1)
 2021-08-17(1)
 2021-12-06(1)
 2021-12-13(1)
 2021-12-20(1)
 2022-04-06(1)
 2022-06-01(1)
 2021-01-13(1)
 2021-06-16(1)
 2021-07-30(1)
 2021-07-29(1)
 2021-11-24(1)
 2021-05-07(1)
 2021-02-19(1)
 2022-11-18(1)
 2021-05-12(1)
 2021-04-14(1)
 2021-10-26(1)
 2020-11-30(1)
 2021-01-04(1)
 2021-08-27(1)
 2022-03-15(1)
 2022-03-25(1)
 2022-05-18(1)
 2022-06-17(1)
 2021-04-29(1)
 2021-08-09(1)
 2021-11-10(1)
 2021-01-11(1)
 2023-02-23(1)
 2021-09-27(1)
 2022-03-21(1)
 2022-03-09(1)
 2021-10-04(1)
 2022-01-18(1)
 2022-03-11(1)","0","2014-XX-XX
2022-XX-XX","literature
literature","rule_date
rule_date"
"PRJEB26961","220","94","genuine_year","LLM","2016-07-18(9)
 2016-07-25(8)
 2015-06-29(7)
 2015-07-06(5)
 2016-06-15(4)
 2016-04-14(4)
 2016-06-06(4)
 2016-06-07(4)
 2016-06-21(4)
 2016-06-09(4)
 2016-06-14(4)
 2015-05-07(3)
 2016-02-10(2)
 2016-02-15(2)
 2016-02-24(2)
 2016-03-02(2)
 2016-03-07(2)
 2016-03-14(2)
 2016-04-13(2)
 2016-05-31(2)
 2016-06-01(2)
 2016-06-22(2)
 2015-12-08(2)
 2016-02-29(2)
 2016-04-12(2)
 2016-04-18(2)
 2016-06-13(2)
 2015-11-05(2)
 2015-05-13(2)
 2014-05-12(2)
 2016-02-11(2)
 2016-02-17(2)
 2016-02-18(2)
 2016-02-22(2)
 2016-03-09(2)
 2016-04-11(2)
 2016-02-23(2)
 2015-10-13(2)
 2015-01-14(2)
 2016-02-25(2)
 2016-03-01(2)
 2016-03-08(2)
 2015-01-13(1)
 2015-02-02(1)
 2015-01-20(1)
 2014-04-08(1)
 2014-05-05(1)
 2014-06-10(1)
 2016-01-25(1)
 2016-02-01(1)
 2016-02-09(1)
 2015-12-10(1)
 2016-01-12(1)
 2016-01-15(1)
 2015-09-28(1)
 2015-09-22(1)
 2015-11-25(1)
 2015-05-21(1)
 2015-10-06(1)
 2015-10-20(1)
 2015-07-20(1)
 2015-07-27(1)
 2015-10-07(1)
 2015-10-27(1)
 2015-05-26(1)
 2015-07-15(1)
 2015-11-24(1)
 2015-07-22(1)
 2015-06-02(1)
 2015-07-13(1)
 2015-10-12(1)
 2015-12-03(1)
 2015-07-21(1)
 2015-03-12(1)
 2014-12-16(1)
 2015-03-24(1)
 2015-05-12(1)
 2015-01-12(1)
 2015-03-02(1)
 2015-04-15(1)
 2014-05-20(1)
 2015-07-16(1)
 2016-01-27(1)
 2016-02-02(1)
 2016-02-04(1)
 2016-02-16(1)
 2015-12-14(1)
 2015-12-15(1)
 2015-12-16(1)
 2016-01-13(1)
 2016-01-18(1)
 2016-01-19(1)
 2015-09-21(1)
 2015-11-09(1)
 2015-10-19(1)
 2015-10-05(1)
 2015-11-17(1)
 2015-10-14(1)
 2015-09-24(1)
 2015-06-30(1)
 2015-11-18(1)
 2015-10-15(1)
 2015-11-03(1)
 2015-11-12(1)
 2015-02-26(1)
 2015-03-11(1)
 2014-12-18(1)
 2015-01-26(1)
 2015-01-19(1)
 2015-04-29(1)
 2015-03-17(1)
 2015-01-06(1)
 2015-03-10(1)
 2014-03-26(1)
 2014-03-31(1)
 2014-04-22(1)
 2014-06-16(1)
 2014-06-24(1)
 2016-01-26(1)
 2016-01-28(1)
 2015-12-09(1)
 2016-01-05(1)
 2016-01-06(1)
 2016-01-07(1)
 2016-01-11(1)
 2016-01-20(1)
 2016-01-21(1)
 2015-09-17(1)
 2015-05-19(1)
 2015-10-26(1)
 2015-11-10(1)
 2015-06-22(1)
 2015-10-08(1)
 2015-12-01(1)
 2015-11-02(1)
 2015-07-14(1)
 2015-08-04(1)
 2015-11-30(1)
 2015-05-20(1)
 2015-11-16(1)
 2015-12-02(1)
 2015-09-30(1)","0","2014-03-XX
2016-07-XX","llm_agent
llm_agent","llm_agent
llm_agent"
"PRJEB51229","93","93","genuine_year","LLM","2017-07-18(2)
 2017-08-18(2)
 2017-07-19(2)
 2017-10-25(2)
 2018-03-29(2)
 2018-07-19(2)
 2018-08-17(2)
 2018-08-09(2)
 2017-09-27(2)
 2017-12-21(2)
 2018-03-18(2)
 2018-09-01(2)
 2017-09-28(2)
 2017-12-20(2)
 2017-08-16(1)
 2017-09-29(1)
 2017-09-30(1)
 2017-10-23(1)
 2017-01-12(1)
 2018-01-04(1)
 2017-07-26(1)
 2018-02-28(1)
 2018-01-23(1)
 2018-05-17(1)
 2018-04-12(1)
 2018-05-13(1)
 2018-03-21(1)
 2018-07-30(1)
 2018-04-26(1)
 2018-08-29(1)
 2019-05-22(1)
 2018-09-04(1)
 2017-08-23(1)
 2017-10-30(1)
 2017-09-19(1)
 2018-01-31(1)
 2017-12-19(1)
 2018-01-10(1)
 2018-02-08(1)
 2018-01-30(1)
 2018-02-22(1)
 2018-04-27(1)
 2018-04-15(1)
 2018-07-17(1)
 2018-08-23(1)
 2018-08-30(1)
 2018-05-29(1)
 2018-09-28(1)
 2018-04-10(1)
 2018-08-03(1)
 2018-08-20(1)
 2018-09-18(1)
 2018-09-26(1)
 2017-07-31(1)
 2017-08-15(1)
 2017-09-12(1)
 2017-10-10(1)
 2017-07-11(1)
 2017-10-13(1)
 2017-10-16(1)
 2018-01-19(1)
 2017-12-05(1)
 2018-01-06(1)
 2017-11-04(1)
 2017-08-22(1)
 2017-12-23(1)
 2018-02-26(1)
 2018-03-27(1)
 2018-03-16(1)
 2018-05-08(1)
 2018-04-01(1)
 2018-08-16(1)
 2018-05-25(1)
 2018-07-26(1)
 2018-05-11(1)
 2018-10-09(1)
 2018-04-03(1)
 2019-02-21(1)
 2018-09-11(1)","0","2016-XX-XX","llm_agent","llm_agent"
"PRJNA1040445","91","91","genuine_year","rule","2020-06-25(9)
 2020-07-17(6)
 2020-07-09(6)
 2020-08-06(6)
 2020-08-05(6)
 2020-07-15(5)
 2020-07-21(5)
 2020-07-31(4)
 2020-06-27(4)
 2020-07-08(4)
 2020-07-02(4)
 2020-07-25(4)
 2020-07-24(4)
 2020-07-22(4)
 2020-07-03(3)
 2020-07-01(3)
 2020-07-23(3)
 2020-07-30(3)
 2020-07-07(2)
 2020-08-07(2)
 2020-08-01(1)
 2020-06-26(1)
 2020-07-16(1)
 2020-07-18(1)","0","2000-XX-XX","literature","rule_date"
